simTime	ueIndex	cellIndex	bitrateDemand	rsrq	newDataRatio	nrUeForDemandType0	nrUeForDemandType1	nrUeForDemandType2	nrUeForDemandType3	nrUeForDemandType4	mcs	qoeScore	
437.025	0	21	100000.0	-7.276	0.936	15.0	0.0	0.0	4.0	4.0	6.800	0.011460	
437.050	1	23	100000.0	-5.112	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
437.075	2	21	500000.0	-7.025	0.936	15.0	0.0	0.0	4.0	4.0	10.000	0.999899	
437.100	3	23	100000.0	-5.933	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
437.125	4	21	1000000.0	-5.259	0.936	15.0	0.0	0.0	4.0	4.0	8.000	0.000000	
437.150	5	21	100000.0	-4.802	0.936	15.0	0.0	0.0	4.0	4.0	8.000	0.000006	
437.175	6	21	100000.0	-5.059	0.936	15.0	0.0	0.0	4.0	4.0	10.000	0.000155	
437.200	7	21	500000.0	-4.625	0.936	15.0	0.0	0.0	4.0	4.0	20.000	0.999995	
437.225	8	21	100000.0	-3.960	0.936	15.0	0.0	0.0	4.0	4.0	18.000	0.000000	
437.250	9	21	1000000.0	-4.624	0.936	15.0	0.0	0.0	4.0	4.0	12.000	0.000000	
437.275	10	21	100000.0	-3.438	0.936	15.0	0.0	0.0	4.0	4.0	24.000	0.997607	
437.300	11	21	100000.0	-4.826	0.936	15.0	0.0	0.0	4.0	4.0	14.000	0.000130	
437.325	12	23	500000.0	-5.565	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
437.350	13	21	100000.0	-5.010	0.936	15.0	0.0	0.0	4.0	4.0	16.000	0.999998	
437.375	14	21	1000000.0	-3.999	0.936	15.0	0.0	0.0	4.0	4.0	20.000	0.999995	
437.400	15	21	100000.0	-3.306	0.936	15.0	0.0	0.0	4.0	4.0	27.692	0.148195	
437.425	16	21	100000.0	-5.045	0.936	15.0	0.0	0.0	4.0	4.0	18.000	0.484166	
437.450	17	21	500000.0	-3.927	0.936	15.0	0.0	0.0	4.0	4.0	20.000	0.999972	
437.475	18	21	100000.0	-5.683	0.936	15.0	0.0	0.0	4.0	4.0	18.000	0.000000	
437.500	19	6	1000000.0	-9.505	0.993	0.0	0.0	0.0	0.0	1.0	27.986	0.000000	
437.525	20	21	100000.0	-3.455	0.936	15.0	0.0	0.0	4.0	4.0	26.000	0.949718	
437.550	21	21	100000.0	-6.398	0.936	15.0	0.0	0.0	4.0	4.0	6.000	0.000000	
437.575	22	21	500000.0	-4.907	0.936	15.0	0.0	0.0	4.0	4.0	20.000	0.999907	
437.600	23	23	100000.0	-5.359	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000234	
437.625	24	23	1000000.0	-5.861	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
437.650	25	23	100000.0	-4.622	1.000	8.0	0.0	0.0	4.0	3.0	10.000	0.000000	
437.675	26	23	100000.0	-3.854	1.000	8.0	0.0	0.0	4.0	3.0	13.846	0.969000	
437.700	27	23	500000.0	-3.327	1.000	8.0	0.0	0.0	4.0	3.0	18.000	0.999996	
437.725	28	21	100000.0	-4.863	0.936	15.0	0.0	0.0	4.0	4.0	10.000	0.000387	
437.750	29	21	1000000.0	-6.643	0.936	15.0	0.0	0.0	4.0	4.0	6.000	0.000000	
437.775	30	18	100000.0	-8.491	1.000	1.0	0.0	0.0	0.0	0.0	28.000	0.000000	
437.800	31	23	100000.0	-6.801	1.000	8.0	0.0	0.0	4.0	3.0	4.737	0.000000	
437.825	32	23	500000.0	-5.612	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
437.850	33	21	100000.0	-6.738	0.936	15.0	0.0	0.0	4.0	4.0	4.875	0.000000	
437.875	34	23	1000000.0	-4.565	1.000	8.0	0.0	0.0	4.0	3.0	10.000	0.000000	
437.900	35	23	100000.0	-4.799	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000640	
437.925	36	21	100000.0	-5.865	0.936	15.0	0.0	0.0	4.0	4.0	8.000	0.000044	
437.950	37	23	500000.0	-7.214	1.000	8.0	0.0	0.0	4.0	3.0	6.000	0.000000	
437.975	38	23	100000.0	-5.429	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
438.000	39	23	1000000.0	-4.057	1.000	8.0	0.0	0.0	4.0	3.0	12.000	0.000000	
438.025	0	21	100000.0	-7.252	0.931	15.0	0.0	0.0	4.0	4.0	7.000	0.011460	
438.050	1	23	100000.0	-5.139	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
438.075	2	21	500000.0	-7.130	0.931	15.0	0.0	0.0	4.0	4.0	10.000	0.999899	
438.100	3	23	100000.0	-6.002	1.000	8.0	0.0	0.0	4.0	3.0	6.143	0.000000	
438.125	4	21	1000000.0	-5.231	0.931	15.0	0.0	0.0	4.0	4.0	8.000	0.000000	
438.150	5	21	100000.0	-4.824	0.931	15.0	0.0	0.0	4.0	4.0	8.000	0.000021	
438.175	6	21	100000.0	-5.031	0.931	15.0	0.0	0.0	4.0	4.0	10.000	0.000570	
438.200	7	21	500000.0	-4.677	0.931	15.0	0.0	0.0	4.0	4.0	20.000	0.999996	
438.225	8	21	100000.0	-3.957	0.931	15.0	0.0	0.0	4.0	4.0	18.000	0.000000	
438.250	9	21	1000000.0	-4.626	0.931	15.0	0.0	0.0	4.0	4.0	12.000	0.000000	
438.275	10	21	100000.0	-3.428	0.931	15.0	0.0	0.0	4.0	4.0	24.000	0.998040	
438.300	11	21	100000.0	-4.814	0.931	15.0	0.0	0.0	4.0	4.0	14.000	0.000130	
438.325	12	23	500000.0	-5.600	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
438.350	13	21	100000.0	-5.008	0.931	15.0	0.0	0.0	4.0	4.0	16.000	0.999998	
438.375	14	21	1000000.0	-4.032	0.931	15.0	0.0	0.0	4.0	4.0	20.000	0.000000	
438.400	15	21	100000.0	-3.304	0.931	15.0	0.0	0.0	4.0	4.0	28.000	0.148195	
438.425	16	21	100000.0	-5.036	0.931	15.0	0.0	0.0	4.0	4.0	18.000	0.276198	
438.450	17	21	500000.0	-3.929	0.931	15.0	0.0	0.0	4.0	4.0	20.000	0.999624	
438.475	18	21	100000.0	-5.720	0.931	15.0	0.0	0.0	4.0	4.0	18.000	0.000000	
438.500	19	6	1000000.0	-9.505	0.993	0.0	0.0	0.0	0.0	1.0	27.971	0.000000	
438.525	20	21	100000.0	-3.451	0.931	15.0	0.0	0.0	4.0	4.0	26.000	0.958452	
438.550	21	21	100000.0	-6.402	0.931	15.0	0.0	0.0	4.0	4.0	6.000	0.000000	
438.575	22	21	500000.0	-4.866	0.931	15.0	0.0	0.0	4.0	4.0	20.000	0.999994	
438.600	23	23	100000.0	-5.400	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000286	
438.625	24	23	1000000.0	-5.878	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
438.650	25	23	100000.0	-4.639	1.000	8.0	0.0	0.0	4.0	3.0	10.000	0.000000	
438.675	26	23	100000.0	-3.851	1.000	8.0	0.0	0.0	4.0	3.0	13.857	0.974475	
438.700	27	23	500000.0	-3.335	1.000	8.0	0.0	0.0	4.0	3.0	18.000	0.999997	
438.725	28	21	100000.0	-4.892	0.931	15.0	0.0	0.0	4.0	4.0	10.000	0.000473	
438.750	29	21	1000000.0	-6.604	0.931	15.0	0.0	0.0	4.0	4.0	6.000	0.000000	
438.775	30	22	100000.0	-8.398	0.588	1.0	0.0	0.0	0.0	0.0	30.000	0.000000	
438.800	31	23	100000.0	-6.787	1.000	8.0	0.0	0.0	4.0	3.0	4.737	0.000000	
438.825	32	23	500000.0	-5.636	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
438.850	33	21	100000.0	-6.746	0.931	15.0	0.0	0.0	4.0	4.0	4.966	0.000000	
438.875	34	23	1000000.0	-4.537	1.000	8.0	0.0	0.0	4.0	3.0	10.000	0.000000	
438.900	35	23	100000.0	-4.781	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000782	
438.925	36	21	100000.0	-5.868	0.931	15.0	0.0	0.0	4.0	4.0	8.000	0.000044	
438.950	37	23	500000.0	-7.230	1.000	8.0	0.0	0.0	4.0	3.0	6.000	0.000000	
438.975	38	23	100000.0	-5.459	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
439.000	39	23	1000000.0	-4.063	1.000	8.0	0.0	0.0	4.0	3.0	12.000	0.000000	
439.025	0	21	100000.0	-7.222	0.929	15.0	0.0	0.0	4.0	4.0	8.000	0.011460	
439.050	1	23	100000.0	-5.169	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
439.075	2	21	500000.0	-7.255	0.929	15.0	0.0	0.0	4.0	4.0	10.000	0.999899	
439.100	3	23	100000.0	-6.079	1.000	8.0	0.0	0.0	4.0	3.0	6.000	0.000000	
439.125	4	21	1000000.0	-5.209	0.929	15.0	0.0	0.0	4.0	4.0	8.000	0.000000	
439.150	5	21	100000.0	-4.842	0.929	15.0	0.0	0.0	4.0	4.0	8.000	0.000104	
439.175	6	21	100000.0	-4.999	0.929	15.0	0.0	0.0	4.0	4.0	10.000	0.000696	
439.200	7	21	500000.0	-4.725	0.929	15.0	0.0	0.0	4.0	4.0	20.000	0.999997	
439.225	8	21	100000.0	-3.954	0.929	15.0	0.0	0.0	4.0	4.0	18.000	0.000000	
439.250	9	21	1000000.0	-4.630	0.929	15.0	0.0	0.0	4.0	4.0	12.000	0.000000	
439.275	10	21	100000.0	-3.421	0.929	15.0	0.0	0.0	4.0	4.0	24.000	0.996434	
439.300	11	21	100000.0	-4.809	0.929	15.0	0.0	0.0	4.0	4.0	14.000	0.000130	
439.325	12	23	500000.0	-5.639	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
439.350	13	21	100000.0	-5.004	0.929	15.0	0.0	0.0	4.0	4.0	16.000	0.999998	
439.375	14	21	1000000.0	-4.065	0.929	15.0	0.0	0.0	4.0	4.0	21.236	0.999962	
439.400	15	21	100000.0	-3.303	0.929	15.0	0.0	0.0	4.0	4.0	28.000	0.148195	
439.425	16	21	100000.0	-5.021	0.929	15.0	0.0	0.0	4.0	4.0	18.000	0.386170	
439.450	17	21	500000.0	-3.933	0.929	15.0	0.0	0.0	4.0	4.0	20.000	0.999977	
439.475	18	21	100000.0	-5.731	0.929	15.0	0.0	0.0	4.0	4.0	18.000	0.000000	
439.500	19	6	1000000.0	-9.484	1.000	0.0	0.0	0.0	0.0	1.0	27.986	0.000000	
439.525	20	21	100000.0	-3.443	0.929	15.0	0.0	0.0	4.0	4.0	26.000	0.903648	
439.550	21	21	100000.0	-6.404	0.929	15.0	0.0	0.0	4.0	4.0	6.000	0.000000	
439.575	22	21	500000.0	-4.773	0.929	15.0	0.0	0.0	4.0	4.0	20.000	0.999986	
439.600	23	23	100000.0	-5.453	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000349	
439.625	24	23	1000000.0	-5.903	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
439.650	25	23	100000.0	-4.680	1.000	8.0	0.0	0.0	4.0	3.0	10.000	0.000000	
439.675	26	23	100000.0	-3.847	1.000	8.0	0.0	0.0	4.0	3.0	13.857	0.999997	
439.700	27	23	500000.0	-3.342	1.000	8.0	0.0	0.0	4.0	3.0	18.000	0.999995	
439.725	28	21	100000.0	-4.910	0.929	15.0	0.0	0.0	4.0	4.0	10.000	0.000259	
439.750	29	21	1000000.0	-6.578	0.929	15.0	0.0	0.0	4.0	4.0	6.000	0.000000	
439.775	30	22	100000.0	-8.307	0.593	1.0	0.0	0.0	0.0	0.0	28.000	0.000000	
439.800	31	23	100000.0	-6.776	1.000	8.0	0.0	0.0	4.0	3.0	4.632	0.000000	
439.825	32	23	500000.0	-5.670	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
439.850	33	21	100000.0	-6.755	0.929	15.0	0.0	0.0	4.0	4.0	4.788	0.000000	
439.875	34	23	1000000.0	-4.513	1.000	8.0	0.0	0.0	4.0	3.0	10.000	0.000000	
439.900	35	23	100000.0	-4.766	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000955	
439.925	36	21	100000.0	-5.870	0.929	15.0	0.0	0.0	4.0	4.0	8.000	0.000044	
439.950	37	23	500000.0	-7.251	1.000	8.0	0.0	0.0	4.0	3.0	4.870	0.000000	
439.975	38	23	100000.0	-5.495	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
440.000	39	23	1000000.0	-4.068	1.000	8.0	0.0	0.0	4.0	3.0	12.000	0.000000	
440.025	0	21	100000.0	-7.200	0.936	15.0	0.0	0.0	4.0	4.0	6.545	0.011460	
440.050	1	23	100000.0	-5.197	1.000	8.0	0.0	0.0	4.0	3.0	8.000	0.000000	
440.075	2	21	500000.0	-7.402	0.936	15.0	0.0	0.0	4.0	4.0	10.000	0.999899	
440.100	3	23	100000.0	-6.157	1.000	8.0	0.0	0.0	4.0	3.0	6.000	0.000000	
440.125	4	21	1000000.0	-5.182	0.936	15.0	0.0	0.0	4.0	4.0	8.000	0.000000	
